id,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
St. Paul's Lutheran School,GARFIELD,NA,Private,12,0.917,0.083
St. Philip Neri Catholic School,OKLAHOMA,OCCSAA,Private,19,1.000,0.000
St. Pius X Catholic School,TULSA,OCCSAA,Private,22,1.000,0.000
STAND WATIE ES,OKLAHOMA,OKLAHOMA CITY,Public,84,0.952,0.000
STEED ES,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,80,0.900,0.025
STERLING ES,COMANCHE,STERLING,Public,26,0.808,0.077
STIGLER ES,HASKELL,STIGLER,Public,87,0.943,0.011
STILWELL ES,ADAIR,STILWELL,Public,58,1.000,0.000
STONE CANYON ES,TULSA,OWASSO,Public,112,0.857,0.071
STONE RIDGE ES,CANADIAN,PIEDMONT,Public,115,0.826,0.009
STRATFORD ES,GARVIN,STRATFORD,Public,48,0.750,0.125
STRINGTOWN ES,ATOKA,STRINGTOWN,Public,12,0.750,0.000
STROTHER ES,SEMINOLE,STROTHER,Public,23,0.913,0.043
STUART ES,HUGHES,STUART,Public,17,0.941,0.000
SULLIVAN VILLAGE ES,COMANCHE,LAWTON,Public,59,0.644,0.000
SULPHUR ES,MURRAY,SULPHUR,Public,104,0.885,0.010
Summit Christian Academy,TULSA,ACTS ,Private,25,0.960,0.040
Sunnybrook Christian School,PAYNE,ACSI,Private,12,0.917,0.000
SUNSET ES (CADDO COUNTY),CADDO,ANADARKO,Public,126,0.810,0.000
SUNSET ES (OKLAHOMA COUNTY),OKLAHOMA,EDMOND,Public,109,0.927,0.028
SURREY HILLS ES,CANADIAN,YUKON,Public,143,0.972,0.021
SWEETWATER ES,ROGER MILLS,SWEETWATER,Public,*,*,*
SWINK PUBLIC SCHOOL,CHOCTAW,SWINK,Public,22,1.000,0.000
TAFT ES,GARFIELD,ENID,Public,47,1.000,0.000
TALIHINA ES,LE FLORE,TALIHINA,Public,46,1.000,0.000
TALOGA ES,DEWEY,TALOGA,Public,*,*,*
TANNEHILL PUBLIC SCHOOL,PITTSBURG,TANNEHILL,Public,14,1.000,0.000
TELSTAR ES,OKLAHOMA,OKLAHOMA CITY,Public,30,0.933,0.000
TENKILLER PUBLIC SCHOOL,CHEROKEE,TENKILLER,Public,29,0.724,0.000
THACKERVILLE ES,LOVE,THACKERVILLE,Public,24,0.958,0.000
The Little Light House,TULSA,"ICAA, AdvancED",Private,19,0.947,0.000
THELMA R. PARKS ES,OKLAHOMA,OKLAHOMA CITY,Public,27,0.963,0.000
THOMAS ES,CUSTER,THOMAS-FAY-CUSTER UNIFIED DIST,Public,41,0.634,0.024
THOMAS JEFFERSON ES,TULSA,UNION,Public,77,0.987,0.039
TIMBER CREEK ES,CLEVELAND,MOORE,Public,82,0.890,0.037
TIMBER RIDGE ES,TULSA,BROKEN ARROW,Public,102,0.941,0.029
TIMBERLAKE ES,ALFALFA,TIMBERLAKE,Public,35,1.000,0.000
TINKER ES,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,91,0.813,0.033
TIPTON ES,TILLMAN,TIPTON,Public,14,1.000,0.000
TISHOMINGO ES,JOHNSTON,TISHOMINGO,Public,63,0.889,0.016
TONKAWA ES,KAY,TONKAWA,Public,76,1.000,0.000
TONY GOETZ ES,MUSKOGEE,MUSKOGEE,Public,44,0.841,0.000
TOWNSEND ES,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,61,0.869,0.000
Trinity Lutheran School,CLEVELAND,NLSA,Private,12,0.917,0.083
TRUMAN PRIMARY SCHOOL,CLEVELAND,NORMAN,Public,117,0.889,0.077
TULAKES ES,OKLAHOMA,PUTNAM CITY,Public,87,0.954,0.000
TULSA LEGACY CHARTER SCHL INC,TULSA,N/A,Charter,73,0.932,0.000
TUPELO ES,COAL,TUPELO,Public,16,0.938,0.000
TURKEY FORD PUBLIC SCHOOL,OTTAWA,TURKEY FORD,Public,23,0.957,0.043
TURNER ES,LOVE,TURNER,Public,22,0.636,0.000
TURPIN ES,BEAVER,TURPIN,Public,32,0.875,0.000
TUSHKA ES,ATOKA,TUSHKA,Public,34,0.853,0.000
TUTTLE EARLY CHILDHOOD CENTER,GRADY,TUTTLE,Public,121,0.884,0.050
TWIN HILLS PUBLIC SCHOOL,OKMULGEE,TWIN HILLS,Public,38,0.974,0.000
TYRONE ES,TEXAS,TYRONE,Public,18,1.000,0.000
Undercroft Montessori School,TULSA,"AdvancED, AMS",Private,39,0.641,0.103
UNION ES,KAY,PONCA CITY,Public,38,0.947,0.000
VALLIANT ES,MCCURTAIN,VALLIANT,Public,60,0.967,0.000
VAN BUREN ES,OKLAHOMA,OKLAHOMA CITY,Public,48,0.958,0.000
VANDEVER ES,TULSA,BROKEN ARROW,Public,65,0.908,0.046
VANOSS ES,PONTOTOC,VANOSS,Public,47,0.915,0.021
VARNUM ES,SEMINOLE,VARNUM,Public,19,0.895,0.000
VELMA-ALMA ES,STEPHENS,VELMA-ALMA,Public,28,1.000,0.000
VERDEN ES,GRADY,VERDEN,Public,17,0.941,0.059
VERDIGRIS ES,ROGERS,VERDIGRIS,Public,104,0.750,0.029
VIAN ES,SEQUOYAH,VIAN,Public,77,0.935,0.000
VICI ES,DEWEY,VICI,Public,20,0.650,0.150
Victory Christian School,TULSA,"ICAA, AdvancED",Private,44,0.841,0.227
Victory Life Academy,BRYAN,"ICAA, AdvancED",Private,14,0.357,0.143
VINITA ES,CRAIG,VINITA,Public,77,0.935,0.026
WAINWRIGHT PUBLIC SCHOOL,MUSKOGEE,WAINWRIGHT,Public,14,1.000,0.000
WARD ES,OSAGE,SHIDLER,Public,23,0.913,0.043
WARD ES WEST,BRYAN,COLBERT,Public,50,0.960,0.020
WARNER ES,MUSKOGEE,WARNER,Public,65,0.908,0.000
WASHINGTON ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,87,0.943,0.046
WASHINGTON ES (COMANCHE COUNTY),COMANCHE,LAWTON,Public,38,0.921,0.000
WASHINGTON ES (MCCLAIN COUNTY),MCCLAIN,WASHINGTON,Public,80,0.913,0.025
WASHINGTON ES (OTTAWA COUNTY),OTTAWA,MIAMI,Public,46,0.957,0.000
WASHINGTON ES (WOODS COUNTY),WOODS,ALVA,Public,80,0.888,0.025
WASHINGTON IRVING ES (BRYAN COUNTY),BRYAN,DURANT,Public,185,0.941,0.005
WASHINGTON IRVING ES (OKLAHOMA COUNTY),OKLAHOMA,EDMOND,Public,127,0.850,0.047
WATTS ES,ADAIR,WATTS,Public,17,0.647,0.059
WAUKOMIS ES,GARFIELD,WAUKOMIS,Public,36,0.972,0.000
WAURIKA ES,JEFFERSON,WAURIKA,Public,25,0.960,0.000
WAYLAND BONDS ES,CLEVELAND,MOORE,Public,59,0.831,0.034
WAYNE ES,MCCLAIN,WAYNE,Public,35,1.000,0.000
WAYNOKA ES,WOODS,WAYNOKA,Public,21,1.000,0.000
WAYSIDE ES,WASHINGTON,BARTLESVILLE,Public,85,0.976,0.012
WEBBERS FALLS ES,MUSKOGEE,WEBBERS FALLS,Public,16,0.875,0.063
WELCH ES,CRAIG,WELCH,Public,19,0.947,0.053
WELLSTON ES,LINCOLN,WELLSTON,Public,40,0.950,0.000
WEST FIELD ES,OKLAHOMA,EDMOND,Public,108,0.741,0.019
WEST NICHOLS HILLS ES,OKLAHOMA,OKLAHOMA CITY,Public,60,1.000,0.000
WESTERN OAKS ES,OKLAHOMA,PUTNAM CITY,Public,108,0.870,0.028
Westminster School,OKLAHOMA,ISAS,Private,61,0.918,0.000
WESTSIDE ES,ROGERS,CLAREMORE,Public,67,0.955,0.030
WESTVILLE ES,ADAIR,WESTVILLE,Public,73,0.973,0.014
WESTWOOD ES,PAYNE,STILLWATER,Public,79,0.924,0.025
WESTWOOD ES,OKLAHOMA,OKLAHOMA CITY,Public,51,0.843,0.000
WETUMKA ES,HUGHES,WETUMKA,Public,24,0.708,0.000
WHEELER ES,OKLAHOMA,OKLAHOMA CITY,Public,52,0.923,0.000
WHITE OAK PUBLIC SCHOOL,CRAIG,WHITE OAK,Public,*,*,*
WHITE ROCK PUBLIC SCHOOL,LINCOLN,WHITE ROCK,Public,10,0.900,0.000
WHITEBEAD PUBLIC SCHOOL,GARVIN,WHITEBEAD,Public,45,0.867,0.000
WHITEFIELD PUBLIC SCHOOL,HASKELL,WHITEFIELD,Public,25,0.920,0.040
WHITMAN ES,TULSA,TULSA,Public,45,0.911,0.000
WHITTIER ES (LAWTON COUNTY),COMANCHE,LAWTON,Public,41,0.561,0.024
WHITTIER ES (MUSKOGEE COUNTY),MUSKOGEE,MUSKOGEE,Public,40,0.850,0.000
WICKLIFFE PUBLIC SCHOOL,MAYES,WICKLIFFE,Public,13,0.692,0.000
WILBURTON ES,LATIMER,WILBURTON,Public,54,0.963,0.000
WILEY POST ES,OKLAHOMA,PUTNAM CITY,Public,81,0.889,0.025
WILL ROGERS ES (ARDMORE),CARTER,ARDMORE,Public,232,0.983,0.009
WILL ROGERS ES (BURNS FLAT-DILL CITY),WASHITA,BURNS FLAT-DILL CITY,Public,37,1.000,0.000
WILL ROGERS ES (EDMOND),OKLAHOMA,EDMOND,Public,112,0.929,0.063
WILL ROGERS ES (PUTNAM CITY),OKLAHOMA,PUTNAM CITY,Public,60,0.933,0.033
WILL ROGERS ES (STILLWATER),PAYNE,STILLWATER,Public,92,0.739,0.011
WILLIAM GAY EC CTR,PITTSBURG,MCALESTER,Public,230,0.970,0.026
WILLOW BROOK ES,OKLAHOMA,OKLAHOMA CITY,Public,83,0.964,0.024
WILSON ES (CARTER COUNTY),CARTER,WILSON,Public,33,0.667,0.000
WILSON ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,47,0.872,0.064
WILSON ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,62,0.887,0.065
WILSON ES (OKMULGEE COUNTY),OKMULGEE,WILSON,Public,14,0.714,0.000
WILSON ES (OTTAWA COUNTY),OTTAWA,MIAMI,Public,24,1.000,0.000
WINDING CREEK ES,CLEVELAND,MOORE,Public,100,0.850,0.020
WINDS WEST ES,OKLAHOMA,WESTERN HEIGHTS,Public,51,0.980,0.000
WINDSOR HILLS ES,OKLAHOMA,PUTNAM CITY,Public,113,0.947,0.000
WISTER ES,LE FLORE,WISTER,Public,31,0.903,0.000
WOLF CREEK ES,TULSA,BROKEN ARROW,Public,97,0.948,0.031
WOODALL PUBLIC SCHOOL,CHEROKEE,WOODALL,Public,58,1.000,0.000
WOODLAND HILLS ES,COMANCHE,LAWTON,Public,75,0.627,0.027
WOODLANDS ES,KAY,PONCA CITY,Public,40,0.950,0.075
WOODROW WILSON ES (STPEHENS COUNTY),STEPHENS,DUNCAN,Public,53,0.981,0.000
WOODROW WILSON ES (WASHINGTON COUNTY),WASHINGTON,BARTLESVILLE,Public,83,0.988,0.012
WOODWARD EC CTR,WOODWARD,WOODWARD,Public,221,0.941,0.032
Wright Christian Academy,TULSA,ACSI,Private,12,0.833,0.000
WRIGHT CITY ES,MCCURTAIN,WRIGHT CITY,Public,30,0.967,0.000
WRIGHT ES,TULSA,TULSA,Public,28,0.893,0.036
WYANDOTTE ES,OTTAWA,WYANDOTTE,Public,65,1.000,0.000
WYNONA ES,OSAGE,WYNONA,Public,*,*,*
YALE ES,PAYNE,YALE,Public,28,0.821,0.071
YARBROUGH ES,TEXAS,YARBROUGH,Public,*,*,*
ZANEIS PUBLIC SCHOOL,CARTER,ZANEIS,Public,34,0.941,0.059
ZION PUBLIC SCHOOL,ADAIR,ZION,Public,34,0.971,0.000

