id,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
CLAREMONT ES,ROGERS,CLAREMORE,Public,75,1.000,0.000
CLARK ES,TULSA,UNION,Public,99,0.970,0.000
CLEGERN ES,OKLAHOMA,EDMOND,Public,44,0.818,0.045
CLEORA PUBLIC SCHOOL,DELAWARE,CLEORA,Public,16,0.875,0.000
CLEVELAND BAILEY ES,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,50,0.920,0.020
CLEVELAND ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,96,0.969,0.031
CLEVELAND ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,60,0.850,0.067
CLEVELAND PRIMARY ES,PAWNEE,CLEVELAND,Public,104,0.981,0.010
CLINTON WEST ES,TULSA,TULSA,Public,78,0.782,0.000
COLCORD ES,DELAWARE,COLCORD,Public,37,0.865,0.027
COLLINSVILLE EC CTR,TULSA,COLLINSVILLE,Public,207,0.990,0.005
COLUMBUS ES,TULSA,TULSA,Public,60,0.917,0.000
COMANCHE ES,STEPHENS,COMANCHE,Public,76,0.868,0.079
Community Christian School,CLEVELAND,"ACTS, AdvancED",Private,39,0.769,0.128
COOLIDGE ES (GARFIELD COUNTY),GARFIELD,ENID,Public,73,1.000,0.000
COOLIDGE ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,95,0.968,0.011
COOPER ES,TULSA,TULSA,Public,80,0.850,0.000
COPAN ES,WASHINGTON,COPAN,Public,16,0.938,0.000
CORDELL ES,WASHITA,CORDELL,Public,42,1.000,0.000
CORNELSEN ES,MAJOR,FAIRVIEW,Public,54,0.981,0.019
CORONADO HEIGHTS ES,OKLAHOMA,PUTNAM CITY,Public,68,0.941,0.000
COTTERAL ES,LOGAN,GUTHRIE,Public,212,0.821,0.019
COTTONWOOD PUBLIC SCHOOL,COAL,COTTONWOOD,Public,20,0.850,0.150
COUNCIL GROVE ES,OKLAHOMA,WESTERN HEIGHTS,Public,69,0.942,0.000
COUNTRY ESTATES ES,OKLAHOMA,MIDWEST CITY-DEL CITY,Public,59,0.949,0.017
